"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1194","Verify a defect can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.DefectAPITest","Qace Tests","tests.api.DefectAPITest","checkDefectCRUD"
"","32328","Verify the project code can be changed","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectCode"
"","10785","Verify a project can be found in the projects list by searching its name","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkSearchProjectByName"
"","32300","Verify the project name can be changed","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectName"
"","32566","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","1244","Verify a test case can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestCaseAPITest","Qace Tests","tests.api.TestCaseAPITest","checkTestCaseCRUD"
"","13188","Verify a new project can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProject"
"","20877","Verify a new suite can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewSuite"
"","2854","Verify an error message is shown when logging in with a wrong password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","28","checkLogs","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.base.LogTest","Qace Tests","tests.base.LogTest","checkLogs"
"","23625","Verify a new test case can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewTestCase"
"","18405","Verify the project limit modal is displayed after trying to create a 3rd project","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkProjectCreationLimit"
"","2010","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","32277","Verify a new defect can be created and is displayed in the defects list","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateNewDefect"
"","11551","Verify a project can be deleted","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkDeleteProject"
"","910","Verify a test suite can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestSuiteAPITest","Qace Tests","tests.api.TestSuiteAPITest","checkTestSuiteCRUD"
"","12562","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","32689","Verify a test case can be deleted","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteTestCase"
"","11066","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","10774","Verify user can log in with valid credentials","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithValidCredentials"
"","13751","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","32516","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","32548","Verify a suite can be deleted","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteSuite"
"","2136","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","11009","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","32647","Verify a defect can be deleted from the defects list","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkDeleteDefect"
"","32509","Verify a quick test case can be created","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateQuickTestCase"
"","4385","Verify a project can be created, read, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.ProjectAPITest","Qace Tests","tests.api.ProjectAPITest","checkProjectCRUD"
"","19102","Verify an archived project disappears from the projects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkArchiveProject"
"","32404","Verify the create defect form stays open when required fields are empty","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateDefectWithEmptyFields"
"","33267","Verify a deleted test case can be restored from the trash bin back","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkRestoreTestCase"
"","32537","Verify a suite can be duplicated","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDuplicateSuite"
"","32489","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
