"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14390","Verify the project limit modal is displayed after trying to create a 3rd project","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkProjectCreationLimit"
"","16303","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","7482","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","12374","Verify a new test case can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewTestCase"
"","8416","Verify a defect can be deleted from the defects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkDeleteDefect"
"","7689","Verify the create defect form stays open when required fields are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateDefectWithEmptyFields"
"","7960","Verify a project can be deleted","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkDeleteProject"
"","1236","Verify a test case can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestCaseAPITest","Qace Tests","tests.api.TestCaseAPITest","checkTestCaseCRUD"
"","10122","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","10834","Verify a new suite can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewSuite"
"","6688","Verify an error message is shown when logging in with a wrong password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","8323","Verify a quick test case can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateQuickTestCase"
"","15257","Verify an archived project disappears from the projects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkArchiveProject"
"","9668","Verify a new project can be created","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProject"
"","7327","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","10252","Verify a new defect can be created and is displayed in the defects list","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateNewDefect"
