"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7716","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","7676","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","7846","Verify the create project modal stays open when the name and/or code are empty","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProjectWithEmptyFields"
"","16336","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","16211","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","17706","Verify a defect's status can be changed to 'In Progress', 'Resolved', or 'Invalid'","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkChangeDefectStatus"
"","9757","Verify a new project can be created","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkCreateProject"
"","1252","Verify a defect can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.api.DefectAPITest","Qace Tests","tests.api.DefectAPITest","checkDefectCRUD"
"","10164","Verify a new defect can be created and is displayed in the defects list","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateNewDefect"
"","8398","Verify a quick test case can be created","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateQuickTestCase"
"","15659","Verify an archived project disappears from the projects list","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkArchiveProject"
"","7376","Verify a project can be found in the projects list by searching its name","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkSearchProjectByName"
"","1306","Verify a test case can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.api.TestCaseAPITest","Qace Tests","tests.api.TestCaseAPITest","checkTestCaseCRUD"
"","8428","Verify a defect can be deleted from the defects list","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkDeleteDefect"
"","10856","Verify a new test case can be created","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewTestCase"
"","14533","Verify the project limit modal is displayed after trying to create a 3rd project","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkProjectCreationLimit"
"","8902","Verify a project can be deleted","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkDeleteProject"
"","15615","Verify the project name can be changed","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectName"
"","5875","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","6060","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","7807","Verify the create defect form stays open when required fields are empty","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.DefectsPageTest","Qace Tests","tests.ui.DefectsPageTest","checkCreateDefectWithEmptyFields"
"","9477","Verify a deleted test case can be restored from the trash bin back","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkRestoreTestCase"
"","935","Verify a test suite can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.api.TestSuiteAPITest","Qace Tests","tests.api.TestSuiteAPITest","checkTestSuiteCRUD"
"","9148","Verify a test case can be deleted","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteTestCase"
"","10267","Verify a new suite can be created","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkCreateNewSuite"
"","3834","Verify a project can be created, read, and deleted via the API","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.api.ProjectAPITest","Qace Tests","tests.api.ProjectAPITest","checkProjectCRUD"
"","20214","Verify user can log in with valid credentials","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithValidCredentials"
"","8229","Verify a suite can be deleted","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDeleteSuite"
"","15921","Verify the project code can be changed","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectSettingsPageTest","Qace Tests","tests.ui.ProjectSettingsPageTest","checkChangeProjectCode"
"","4719","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","10655","Verify a suite can be duplicated","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectPageTest","Qace Tests","tests.ui.ProjectPageTest","checkDuplicateSuite"
"","6524","Verify an error message is shown when logging in with a wrong password","Qace All Tests Suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
