"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32526","Verify an error message is shown when logging in with a wrong password","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithInvalidCredentials"
"","4477","Verify a project can be created, read, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.ProjectAPITest","Qace Tests","tests.api.ProjectAPITest","checkProjectCRUD"
"","896","Verify a test suite can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestSuiteAPITest","Qace Tests","tests.api.TestSuiteAPITest","checkTestSuiteCRUD"
"","2165","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","32443","Verify an archived project disappears from the projects list","Qace All Tests Suite","2026-07-19","skipped","2026-07-19","tests.ui.ProjectsPageTest","Qace Tests","tests.ui.ProjectsPageTest","checkArchiveProject"
"","1299","Verify a test case can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.TestCaseAPITest","Qace Tests","tests.api.TestCaseAPITest","checkTestCaseCRUD"
"","1199","Verify a defect can be created, read, updated, and deleted via the API","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.api.DefectAPITest","Qace Tests","tests.api.DefectAPITest","checkDefectCRUD"
"","12461","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","39","checkLogs","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.base.LogTest","Qace Tests","tests.base.LogTest","checkLogs"
"","2036","Verify a required field message is shown when logging in with an empty email and/or password","Qace All Tests Suite","2026-07-19","passed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithEmptyFields"
"","32422","Verify user can log in with valid credentials","Qace All Tests Suite","2026-07-19","failed","2026-07-19","tests.ui.LoginTest","Qace Tests","tests.ui.LoginTest","checkLoginWithValidCredentials"
